title,description,sector,foundation_year,location,url,page
Geneva Biotech Center (GBC) SA,unknown,Biotech,2013,Genève,http://genevabiotechcenter.com/,5
DSwiss AG,Digital safe-deposit boxes,Software,2006,Zürich,http://www.dswiss.com,5
KetoSwiss AG,A new migraine preventative that improves brain energetics.,Biotech,2017,Basel,http://www.keto.swiss,5
UniSieve AG,"Membrane technology, allowing cost and energy efficient sepa",Cleantech,2018,Zürich,http://www.unisieve.com,5
NEBION AG ,Creating a next-generation genomic search engine,unknown,2008,Zürich,http://www.nebion.com,5
"Klapp - Professionelle Kommunikation, die klappt!","Communiction platform for schools, kindergartens and parents",Software,2018,Fislisbach,https://www.klapp.pro,5
Molecular Partners AG,Targeted protein therapeutics beyond antibodies,Biotech,2004,Zürich-Schlieren ,http://www.molecularpartners.com,5
Denteo AG,Denteo AG delivers Switzerland’s first web-based practice management software for the dental industry with a focus on usability and convenience.,unknown,2017,Zürich,unknown,5
QZabre LLC,We make magnetic fields visible at the nanometer scale,Engineering,2018,Zurich,https://qzabre.com/,5
SThAR SA,Reinventing face-to-face and out-of-home marketing,Software,2016,Lausanne,http://www.sthar.com,5
Trustwise.io AG,BUSINESSES BASED ON TRUST.,unknown,2017,Pratteln,https://www.trustwise.io/en/,5
MPC Therapeutics Sàrl,Treating metabolic and neurodegenerative diseases,Biotech,2018,Plan les Ouates,unknown,6
Funzyme Biotechnology SA,Enzyme-based drugs and agents,Biotech,2005,Plan-les-Ouates,http://www.funzyme.com/home.html,6
QZabre LLC,We make magnetic fields visible at the nanometer scale,Engineering,2018,Zurich,https://qzabre.com/,6
BODYGEE AG,Body Analytics for Health &amp; Fitness,unknown,2015,Stettlen BE,https://www.bodygee.com/,6
Sygnum Bank AG,Digital asset specialist with global reach,SoftwareFintech,2018,Zurich,https://www.sygnum.com/,6
kofatec GmbH,Diagnostic tool for the detection of mastitis in dairy cows,Medtech,2013,Pfeffikon,http://www.kofatec.ch,6
Coatchecker GmbH,Device measuring the thickness of sealing layers used widely in the construction sector,Engineering,2016,Winterthur,https://www.coatchecker.ch/,6
AESTICO GmbH,Free craftsmen from paper-based renovation planning,Software,2020,Zürich,http://www.aestico.ch,6
Redbiotec AG,Therapeutic bacteria for treating cancer &amp; genetic disorders,Biotech,2006,Schlieren,http://www.redbiotec.ch,6
THE ROKKER COMPANY AG,Protection jeans with innovative textiles,unknown,2008,Widnau,http://www.therokkercompany.com,6
Albedo Holding AG,Smart lighting systems,Cleantech,2015,Baar,http://www.albedo-light.com,6
FLYNT Bank AG  ,Technology platform that enables management of complex wealth structures,Fintech,2014,Zug,https://www.flynt.io/,6
b-cube AG (aquired by Scanco Medical AG),Micro-computed tomography (microCT) services,Software,2008, Brüttisellen,http://www.b-cube.ch,7
Senis,Magnetic &amp; current measurement,Engineering,2004,Zug,https://www.senis.ch/,7
Phi Pharma SA,Development of drug conjugates,unknown,2011,Sion,http://www.phi-pharma.com,7
MyAirSeat GmbH,Helping commercial air operators to increase capacity utilization and generate additional flights,Software,2015,Baltschieder,http://www.my-air-seat.com,7
Cardiorentis AG,Developing drug therapies for the treatment of acute heart failure and related cardiovascular diseases,Biotech,2010,,http://http://www.cardiorentis.com,7
Aptarism SA,Designing and developing interactive products for augmented reality,Software,2012,Lausanne,http://www.aptarism.com,7
threatray AG,Code-based threat intelligence and analytics at scale,unknown,2018,Biel/Bienne,https://threatray.com/,7
AgentSelly AG,Digital full-service real estate agent,unknown,2016,Rotkreuz,https://www.agentselly.ch/,7
Bridgology SA,Visualize Structure Condition,Engineering,2017,Epalinges,http://bridgology.com/en/index.html,7
ElectricFeel AG,Operating system to launch and run shared electric mobility,Cleantech,2012,Zurich,http://www.electricfeel.com,7
DIRAMICS AG,Setting new standards for noise performance,unknown,2016,Zürich,unknown,7
abstract ag,funnel for BIM to SIM,SoftwareCleantech,2020,Basel,https://www.abstract.build/,7
OxyPrem AG,Brain oxygen monitoring in high-risk preterm infants.,Medtech,2018,Zürich,https://www.oxyprem.com,8
VIGISENSE SA,Location aware wireless systems for better care and safety,Medtech,2009,Genève,http://www.vigisense.com,8
Balzano Informatik AG,AI software for MRI images in radiology,Software,2011,Zurich,https://www.balzano.ch/,8
LENR Cars Sàrl,Self-powered LENR electric car,Cleantech,2012,Ecublens,http://lenr-cars.com,8
Polyphor AG,"Novel antibiotics, oncology treatments and respiratory agents",Biotech,2013,Allschwil,http://www.polyphor.com,8
Softcar SA,Electric car,Cleantech,2011,La Neuveville,http://www.softcar.ch,8
RosieReality GmbH ,Creative robotics and powerful apps for ages 5 and up.,Engineering,2018,Zürich,https://www.rosiereality.ch/,8
G-ray Switzerland SA ,Monolithic X-ray photon imaging detector,Medtech,2014,Hauterive,http://www.g-ray.ch/,8
FinalSpark Sàrl,Creating a “Thinking Machine”,Software,2014,Remaufens,http://finalspark.com/,8
Bee Invested GmbH,A new approach to real estate investments,Fintech,2014,Plan-les-Ouates,https://www.beeinvested.ch,8
CyQuant AG,We bridge insurer &amp; cyber security to save compagnies,SoftwareFintech,2018,Zürich,https://www.cyquant.com/,8
Skypull SA,Globally scalable renewable wind energy with tethered hybrid,Cleantech,2017,Dino-Lugano,http://www.skypull.com,8
DEEP CUBE SA,Artificial intelligence for healthcare diagnosis,unknown,2018,EPALINGES,http://www.deepcube.ch,9
Auxivo AG,Wearable supports devices that support and protect workers.,Engineering,2019,Schwerzenbach,http://www.auxivo.com,9
MyCamper AG,Sharing platform for campers,unknown,2015,Basel,https://www.mycamper.ch,9
Sonect AG,"Through Sonect, every store becomes an ATM.",Fintech,2016,Zürich,https://www.sonect.net,9
devis.ch SA ,Online competitive quotes from quality service providers in Switzerland,Software,2014,Nyon,https://www.devis.ch/,9
Evolva SA,Improving lives with synthetic biology,Biotech,2004,Allschwil,http://www.evolva.com,9
c-crowd AG,Online lending platform,Fintech,2010,Zürich,http://www.c-crowd.com,9
Tastier AG,Pay in restaurants without waiting for the bill,Fintech,2016,Zürich,https://www.tastier.ch,9
Urknall AG (Fyooz),Decentralized finance meets pop culture,SoftwareFintech,2019,Zurich,https://www.fyooz.io/,9
PharmaBiome AG,Next Generation Microbiome Therapies,Biotech,2015,Zürich,http://www.pharmabiome.com/,9
FLISOM AG,Flexible solar modules,Cleantech,2005,Dübendorf,http://www.flisom.ch,9
Smiqql GmbH,Flavored flaky salts,unknown,2020,Pfäffikon,unknown,9
customweb GmbH (sellxed),Leading provider of state-of-the-art e-payment solutions,SoftwareFintech,2008,Winterthur,http://www.customweb.ch,10
Strategic Swiss Partners AG,Leading boutique management &amp; financial advisory firm,SoftwareFintech,2017,Zürich,https://www.strategicswisspartners.com/,10
Touchless Automation GmbH,Contactless production machines,Engineering,2016,Bienna,http://www.touchless-automation.ch/,10
NATURALEA SA (Crownhealth),Vegan protein bars,unknown,2014,Lugano,https://crownhealth.ch/,10
Time2Market SA - TotalYmage,360° video telework software for frontline workers,Software,2013,Ecublens,https://www.totalymage.com,10
My Sky SA,Financial management and benchmarking tool for private jet owners,SoftwareFintech,2015,Lausanne,https://mysky.com/,10
Plexim GmbH,High-speed simulations of power electronic systems,MedtechCleantech,2002,Zürich,http://www.plexim.com,10
MalMath,Step by step math problem-solver for students and teachers,unknown,2022,Munich,http://www.malmath.com/,10
DORPHAN S.A.,Drugs for orphan and rare genetic diseases,Biotech,2011,Lausanne,http://www.dorphan.com,10
Xeltis AG,Bioabsorbable synthetic heart valves and vascular grafts,Medtech,2006,Zürich,http://xeltis.com,10
Dualsystems Biotech AG,unknown,Biotech,2000,Schlieren,https://www.dualsystems.com/,10
Creditworld AG,The online marketplace for financing SMEs in Switzerland,Fintech,2015,Zug,https://www.creditworld.ch/,10
MeduSoil Sàrl,Innovating down-to-Earth,EngineeringCleantech,2018,Ecublens,https://www.medusoil.com/,11
Encelade Capital SA,Your delegate for choice,SoftwareFintech,2008,St-Sulpice,https://www.agnostic.ai/,11
ReHaptix GmbH,Medical app to measure and track upper limb impairments in patients suffering from a neurological injury,Medtech,2013,Zurich,http://rehaptix.com,11
AquAero GmbH,"Green, Clean &amp; Energy Efficient Material Drying",Cleantech,2014,Windisch,http://aquaero-water.com/,11
TARCO International,Blockchain Consulting Finance and Commodity Trading,Fintech,2017,Zug,https://www.tarco.ch/,11
REMEDOK Sàrl,B2B platform for pharmacies,unknown,2018,Lausanne,https://remedok.ch/willkommen/,11
Levuro AG,Powerful social marketing tool fo the sport industry,unknown,2016,Zürich,https://levuro.com/,11
Geneva Biotech Center (GBC) SA,unknown,Biotech,2013,Genève,http://genevabiotechcenter.com/,11
PrognosiX AG,future for now,Software,2014,Zürich,http://www.prognosix.ch,11
Vela Solaris AG,Smulation software for the renewable energy sector,Cleantech,2006,Winterthur,http://www.velasolaris.com,11
SwissMetrics GmbH,Collaborative credit risk monitoring,Fintech,2014,Glattbrugg,http://www.swiss-metrics.com/,11
Working Bicycle AG,Disruptive out of home marketing tools based on unused resources,Cleantech,2018,Rheinfelden,http://www.workingbicycle.ch,11
peerspoint SA,Blockchain ecosystem for Sport and leisure federations,SoftwareFintech,2016,Sullens,http://www.peerspoint.com,12
NIKIN AG,Ecologically and fairly produced fashion,unknown,2017,Aarau,https://nikin.ch/,12
DataCenterVision SA,Professional datacenter management software,Software,2010,Yverdon les Bains,http://datacentervision.com,12
Securaxis SA,Sounds analytics for smart cities,Cleantech,2015,Vandoeuvres,http://www.securaxis.com,12
Swiss Motion Technologies SA,Tailor-made prosthetic limb components,Medtech,2018,Renens,https://motiontech.ch,12
HC2 Health Care &amp; Pharma Consulting SA,Medical devices and software technology for your patients,Biotech,2013,Genève,http://www.hcpharmaconsulting.ch/,12
SkyCell AG,Pharma containers worldwide,Cleantech,2012,Zug,http://www.skycell.ch,12
Indeotec SA,Plasma process equipment,Cleantech,2007,Neuchâtel,http://www.indeotec.com,12
Flybotix SA,Doubling flight time of prof. indoor inspection drones,Engineering,2019,Lausanne,https://flybotix.com/,12
DynaMetrics,Automated Credit Scoring tool,SoftwareFintech,2017,Fribourg,https://www.dynametrics.ch/,12
Kollabo AG,Job search platform for the construction industry,unknown,2018,Freienbach,https://kollabo.ch/,12
Netico GmbH,Specialized in delivering products and services to industrial customers,SoftwareCleantech,2010,Horgen,http://www.netico-group.com,12
b-sharpe SA ,Online currency exchange company,Fintech,2006,Geneva,https://www.b-sharpe.com/,13
Authena ,Anticounterfeit blockchain &amp; IoT Platform for premium brands,Fintech,2018,Zug,http://www.authena.io,13
STABLETON FINANCIAL AG,Next-generation marketplace for Alternative Investments,Fintech,2018,Zug,https://www.stableton.com/,13
Taurus Group SA,Swiss digital asset custody solution,Fintech,2018,Geneva,https://www.taurusgroup.ch/,13
Beratics,Automation of written communication,Software,2019,Zurich,http://www.beratics.com,13
Lipidon AG,Actionable biomarkers discovery for food,Medtech,2018,Zürich,http://www.lipidon.com,13
Informal Systems AG,Verifiable distributed systems and organizations,SoftwareFintech,2020,Lausanne,https://informal.systems/,13
GratXray AG,Painless and precise breast cancer imaging,Medtech,2017,Villigen,http://www.gratxray.com,13
modum.io AG,Rethinking the pharma supply chain,unknown,2016,Zürich,https://modum.io/,13
AgroFly SA,Agricultural spraying revolutionized,unknown,2017,Granges,http://agrofly.ch/en/,13
Virometix AG,Vaccines using its Synthetic Virus-Like Particle (SVLP) technology,Biotech,2009,Schlieren,http://www.virometix.com,13
Tellement Facile SA (Hempfy),Swiss innovation in mass consumer cannabis products,unknown,2017,Duillier,https://hempfy.com/,13
derma2go AG - Your Experts for Skin Health,Your Experts for Skin Health,unknown,2018,Zürich,https://www.derma2go.com/,14
Concept | Iris GmbH,We develop an innovative reusable coffee-to-go-cup.,unknown,2020,Horw,https://conceptiris.ch/de-CH/,14
Zaphiro Technologies SA,Optimization solution for electricity grids,Cleantech,2017,Ecublens,http://zaphiro.ch/,14
Bright Sensors SA,Miniaturized gas quality sensor,Cleantech,2014,Neuchâtel,http://www.bright-sensors.com,14
Lamassu Industries AG,A new generation of Bitcoin ATMs,Fintech,2018,Root,https://lamassu.is/,14
Gatlik GmbH,Dermatology treatments,Biotech,2005,Basel,http://www.gatlik.com,14
BlueBotics SA,Autonomous navigation to enable the mobility of vehicles,Engineering,2014,St-Sulpice,http://www.bluebotics.com/,14
AI Partners SA (Real Advisor),Online property valuation made easy,unknown,2017,Meyrin,https://realadvisor.ch/en,14
Borotech GmbH,Operational risk and compliance solutions,Software,2010,Zug,http://www.promonitor.ch,14
Fennex AG,Augmented hearing app,unknown,2017,Meilen,https://www.fennex.io/,14
deepCDR Biologics AG,Deep learning in antibody discovery and engineering,Biotech,2019,Basel,unknown,14
Approovd AG,Easily make first-class contracts,Software,2017,Zürich,https://www.approovd.com/de-ch/,14
H55 AG,Electric propulsion technologies,Cleantech,2015,Sion,http://www.h55.ch,15
AAAccell AG ,Cutting-edge technology in asset and risk management,Fintech,2017,Zürich,http://aaaccell.ch/,15
Medical Templates AG,A simple and cost-effective solution for needle guidance,Medtech,2015,Egg,http://www.medicaltemplates.ch/,15
GT Gain Therapeutics SA,Next generation pharmacological chaperones treatments,Biotech,2017,Lugano,https://www.gaintherapeutics.com/,15
Tokenestate SA,Investing made simple,Fintech,2018,Geneva,https://tokenestate.io/,15
Knip AG ,Online insurance management,Fintech,2013,"Zurich, Switzerland",http://www.knip.ch,15
CARU AG,Empowering older adults to age in place,Cleantech,2017,Zurich,https://caruhome.com,15
Agrinium Technologies SA,Robotic Mushroom Harvester,Engineering,2020,Saint-Imier,http://agrinium.ch/,15
Triplequote Sàrl,Compile Scala faster,Software,2016,Lausanne,https://www.triplequote.com/,15
Reha Technology AG ,The world’s most advanced system for gait rehabilitation,Medtech,2011,Olten,http://www.rehatechnology.com,15
Desion AG (prezit),Waste bin with compression function,Cleantech,2018,Plaffeien (FR),https://prezit.de/,15
Spotme SA,The mobile platform for every event,Software,1998,Lausanne,http://www.spotme.com,15
Inspacion AG,Virtual reality design and collaboration platform for enterprises,unknown,2017,Zurich,http://www.inspacion.com,16
Sourcin SA,Tool to enhance knowledge management capabilities in high tech industries,Medtech,2011,Fribourg,https://www.sourcin.com,16
FrontDam GmbH,Online spam filter,Software,2011,Zurich,http://www.frontdam.com,16
RAAAM,Smallest On-Chip Memory Technology for Integrated Circuits,Engineering,2022,Ecublens,unknown,16
Food 2 You,24/7 Food Delivery,unknown,2019,Davos,unknown,16
Medical Templates AG,A simple and cost-effective solution for needle guidance,Medtech,2015,Egg,http://www.medicaltemplates.ch/,16
Huperty AG,All-in-one solution for property management,Software,2019,Zürich,https://www.huperty.ch/,16
Cassiopee,D-Health neuropaholigies analytics:,Medtech,2017,Carouge,http://www.cassiopee.org,16
Alquant AG,Elevate Active Investing through Technology,SoftwareFintech,2018,Bussigny-près-Lausanne,https://www.alquant.com,16
Authena ,Anticounterfeit blockchain &amp; IoT Platform for premium brands,Fintech,2018,Zug,http://www.authena.io,16
Investment Navigator AG,Simplifying financial advice for Wealth Managers,Fintech,2014,Zürich,https://www.investmentnavigator.com/,16
dschungelkompass GmbH,The independent rate comparison for Swiss mobile charges,Software,2012,Luzern,http://www.dschungelkompass.ch,16
Morphean SA,Morphean smart cloud platform for security and retail BI,Software,2009,Granges-Paccot,http://www.morphean.ch,17
qiibee ag,The global standard for loyalty on the blockchain.,SoftwareFintech,2012,Zug,https://qiibee.com,17
Avantama AG,Tailormade nanoparticles and dispersions,EngineeringCleantech,2008,Stäfa,https://avantama.com,17
Chimpy AG,Convenient recharging on the go,Cleantech,2013,Zürich,http://heychimpy.com,17
EPha.ch,epha.health - AI finds the right medication,Medtech,2008,Zürich,https://epha.health,17
Prexton Therapeutics SA ,Innovative drugs to improve the quality of life of people who suffer from Parkinson’s disease,Biotech,2012,Plan les Ouates,http://www.prextontherapeutics.com,17
People-Analytix,We support organizations to better manage their workforce,Software,2017,Zurich,https://www.people-analytix.com,17
Hazu Technologies GmbH,Online platform for communications management,unknown,2017,Visp,https://hazu.io/hazu,17
TerraRad Tech AG,drone-based soil moisture mapping for smart agriculture,Engineering,2020,Zürich,https://terraradtech.com/,17
Approovd AG,Easily make first-class contracts,Software,2017,Zürich,https://www.approovd.com/de-ch/,17
By Maria GmbH,"High quality shoes with a great design, fair and environmental friendly",unknown,2019,Neuheim,https://bymaria.ch/,17
Loriot AG,A global IoT LoRaWAN operator and service provider.,unknown,2015,Thalwil,http://www.loriot.io,17
HR Matching AG,Jobzippers is the Swiss and European career community to shape your individual career path.,Software,2011,Winterthur,http://www.hrmatching.com,18
aventura.aero AG,We invented &amp; built the first heavy-duty gyrocopter.,Engineering,2017,"Maennedorf, Zuerich",https://www.aventura.aero,18
V12media-productions,We make pictures move for you,unknown,2012,Gümligen,https://www.v12media-productions.ch,18
Socialease SA,The first Intelligent Assistant designed to support hospitality businesses in the management of their social media,unknown,2015,Lausanne,http://www.socialease.ch,18
GenTwo Digital AG,unknown,Fintech,2022,Zug,unknown,18
TalentWerk AG,Career management platform,Software,2016,St. Gallen,https://talentwerk.ch/,18
Aqua + Tech Specialities SA,There is Always a Solution,Cleantech,2003,La Plaine CP 28 Geneva,http://www.aquaplustech.com,18
FGen GmbH,Screening platform employing microbeads for fast screening of microbial clones,Biotech,2011,Basel,http://fgen.ch/,18
Optor AG (planik!),Intelligent duty scheduling,unknown,2014,Ittigen,https://www.planik.ch/,18
Smartest Learning AG,Automated creation and delivery of tests for learning,Software,2019,Zurich,http://www.smartest-learning.com,18
talendo ,Job lisitng platform for students &amp; graduates in Switzerland,unknown,2013,Zürich,https://www.talendo.ch/,18
INVOLI SA,Enabling the safe integration of drones into the airspace,SoftwareCleantech,2017,Renens,http://www.involi.com,18
Demodia GmbH,Demand-generation and full-servicve digital marketing agency,unknown,2009,St Gallen,https://www.demodia.com/de,19
enersis suisse AG,Big data platform along the complete energy value chain,Cleantech,2011,Bern,http://enersis.ch,19
Performance Buildings AG,If smart is not enough,Software,2008,Regensdorf,http://www.performancebuildings.ch,19
Scrona AG,Printing at the nanoscale,Engineering,2014,Adliswil,http://www.scrona.ch,19
Sport Components AG (milKit),Revolutionizing tubeless bicycle tires,Engineering,2015,Zürich,http://www.milkit.bike,19
b-rayZ GmbH,QA and standardization for radiology procedure using AI,Medtech,2019,Schlieren,http://www.b-rayz.ch,19
9T Labs AG,3D carbon fiber printing technology,EngineeringCleantech,2018,Zurich,http://www.9tlabs.com,19
Zoundream,Unfolding newborns' cries,Software,2019,Basel,unknown,19
SiMPLInext SA,Intelligent in-vitro toxicology testing.,Biotech,2016,Biel/ Bienne,http://www.simplinext.com,19
Ray Research AG,"Quadrotor fan-in-wing VTOL aircraft, with tilting ducts at the stabilator.",Engineering,2009,Muttenz,unknown,19
Nanolive SA,Revolutionary tomographic microscope,Biotech,2013,Ecublens,https://nanolive.ch/,19
Tinamu Labs AG,Automated drone-based indoor monitoring,Software,2018,Zürich,http://tinamu-labs.com/,19
ShemaTic Sarl,Most powerful electric motors for light weight vehicles,EngineeringCleantech,2018,Genève,http://www.shematic.ch,20
Teleretail AG,"Vehicle AutoPilot System for industrial, urban and rural Logistics Automation",Software,2014,Sierre,http://www.teleretail.com,20
Servish GmbH,Freelance and crowdsourcing platform,unknown,2010,Altdorf,http://servish.ch,20
Contovista AG ,Data driven banking,SoftwareFintech,2013,Schlieren,https://www.contovista.com,20
TreaTech Sàrl,Wastewater treatment allowing separation of inorganic salts,Cleantech,2015,Lausanne,http://trea-tech.com/,20
Camptocamp SA,A worldwide expertise in the development of spatial data,Software,2001,Lausanne,https://www.camptocamp.com/en/,20
Magnes AG,Digitalizing rehabilitation with a novel sensing technology,Medtech,2014,Zurich,http://www.magnes.ch,20
WoDens,Substituting tropical wood with local wood,unknown,2022,Biel,unknown,20
Imnoo – AI-commerce for the manufacturing industry,unknown,Fintech,2017,Glattbrugg,https://imnoo.com/,20
SThAR SA,Reinventing face-to-face and out-of-home marketing,Software,2016,Lausanne,http://www.sthar.com,20
caresocius AG,Virtual and physical medical travel,Software,2019,Basel ,http://www.caresocius.org,20
Social Vision GmbH (Ni3),"Combination of traditional enterprise applications, business intelligence and social network analysis",Software,2009,Zürich,https://www.social-vision.ch/,20
Drotr AG,Speak your language with the world,unknown,2022,Wilen b. Wollerau,http://drotr.com/,21
ZENAI AG,Machine Learning solutions and consulting for finance,SoftwareFintech,2016,Zürich,https://zenai.ch/,21
SUN_D GmbH,Daylight LED screen,EngineeringCleantech,2008,Windisch,http://www.sun-d.ch,21
eBOP SA (trading as KiWi),Empowering micro-merchants through access to adapted technology,Fintech,2013,Lausanne,unknown,21
KonMed GmbH,Plastic solutions for medical technology,Medtech,2011,Rotkreuz,unknown,21
WormUp GmbH,The fine art of composting.,unknown,2017,Zürich,http://www.wormup.ch/,21
Akroswiss AG,Innovative Nasal Treatments in CNS,Biotech,2006,Zug,https://www.akroswiss.ch,21
iNNutriGEL AG,"Starch for the sweets, nutraceuticals and pharma industries",Biotech,2005,Schlieren,http://www.innutrigel.ch,21
LumRisk,Illuminating Financial Risk Data,Fintech,2018,Nyon,https://www.lumrisk.com/,21
Crypto Finance Conference AG,Investors-only conference on cryptocurrencies and blockchain,Fintech,2017,St. Moritz,https://crypto-finance-conference.com/,21
CashCloud AG,"Easy, fast and secure payments with your smartphone",Fintech,2011,Basel,http://www.cashcloud.com,21
Exomotion SA,ALLURE enables you to move freely.,Medtech,2018,Lausanne,http://www.exomotion.ch,21
Facedapter,Heterogeneous Facial recognition in unified identity,Software,2020,Versoix,http://www.facedapter.com,22
