title,description,sector,foundation_year,location,url,page
CodeCheck AG,Shopping assistant for a conscious lifestyle,unknown,2014,Zürich,http://www.codecheck.info,34
EBAMed SA,Non-invasive and automated treatments of heart arrhythmias,Medtech,2018,Geneva,https://eba-med.com/,35
LAPO BC AG,Payment and money transfer platform with its own stablecoin,Fintech,2018,,https://www.lapo.io/,35
Versantis AG,Lifesaving medicines for liver and rare pediatric diseases,Biotech,2015,Zurich,http://www.versantis.ch,35
Lamassu Industries AG,A new generation of Bitcoin ATMs,Fintech,2018,Root,https://lamassu.is/,35
Batmaid (Vanguard Internet SA),The first vertical marketplace for home and office services in Switzerland,unknown,2014,Lausanne,https://batmaid.com,35
cloudscale.ch AG,Cloud servers with an exclusive server location in Switzerland,unknown,2014,Zürich,https://www.cloudscale.ch,35
Lenditapp AG,Making funding SMEs more efficient and less risky,SoftwareFintech,2022,,http://www.lenditapp.com,35
Invenda Group AG,"Reinventing signage, kiosks and vending machines",Software,2017,Luzern,https://www.invenda-solutions.com/,35
Bastco sàrl,Dynamic eBook foundry for publishing and monetizing rich graphics eBooks,Software,2010,Villars-sur-Glane,unknown,35
Proton Technologies AG,Secure e-mail,unknown,2014,Plan-les-Ouates,https://protonmail.com/,35
Hidacs Sàrl,Your Swiss partner in Signal Processing &amp; Machine Learning,Engineering,2016,Lausanne,http://www.hidacs.com/,35
Morphotonix Sàrl,Anti-counterfeiting solutions with the lowest C-footprint.,Engineering,2014,Lausanne,http://www.morphotonix.com/,35
CyanoGuard AG,Next Generation Toxin Testing.,EngineeringCleantech,2016,Waedenswil,https://www.cyanoguard.com,36
yamo AG,The freshest and most natural organic baby food,unknown,2016,Zug,http://www.yamo.bio,36
RAAAM,Smallest On-Chip Memory Technology for Integrated Circuits,Engineering,2022,Ecublens,unknown,36
Drotr AG,Speak your language with the world,unknown,2022,Wilen b. Wollerau,http://drotr.com/,36
deskbird AG,On-demand access to flexible workspaces,Software,2020,St. Gallen,https://app.deskbird.ch/,36
TRIBOTRON AG,Inovative methods for surface and material testing and documentation,Engineering,2008,St. Gallen,http://www.acctron.com,36
Visium SA,AI EnterpriseTech Tailored Solutions and SaaS Company,Software,2018,Lausanne,http://www.visium.ch,36
SwissDeCode SA,Secure and Build Trust in the Global Food Supply Chain,Biotech,2016,Renens,http://www.swissdecode.com/,36
RetinAI Medical AG,Retinai optimises and automates clinical &amp; pharma workflows,Medtech,2016,Bern,http://retinai.com,36
Teia Education,unknown,unknown,2018,Meinier,unknown,36
SalesWings,Minimalistic sales management,unknown,2016,Lausanne,http://www.saleswingsapp.com,36
Versantis AG,Lifesaving medicines for liver and rare pediatric diseases,Biotech,2015,Zurich,http://www.versantis.ch,36
Aktiia SA,Reinventing Blood Pressure Monitoring,Medtech,2018,Neuchatel,https://aktiia.com/,37
Taiga Elements Sàrl,Renewable energy solutions with a focus on photovoltaic and solar thermal applications,Cleantech,2010,Mettembert,http://www.taiga-elements.com,37
healthbank innovation AG,Collect all your health data in one place,unknown,2015,Baar,unknown,37
Versameb AG ,The next generation of RNA therapeutics,Biotech,2017,Basel,https://www.versameb.com/,37
Viewster AG,Video on demand service in the cloud,Software,2007,Zürich,http://www.viewster.tv,37
Urban Sympheny AG,Local energy planning. Optimized.,SoftwareCleantech,2020,Dübendorf,https://www.sympheny.com/,37
ennos AG,A highly efficient and portable solar water pump,Cleantech,2006,Nidau,http://www.ennos.ch/,37
Orca AG,"The secure, intuitive way to store &amp; share financial info.",SoftwareFintech,2016,Zürich,https://www.withorca.com/,37
Optical Additives GmbH,Convert any surface into a solar cell,EngineeringCleantech,2006,Staufen,http://www.optical-additives.com,37
Albedo Holding AG,Smart lighting systems,Cleantech,2015,Baar,http://www.albedo-light.com,37
Naviswiss AG,Navigation systems for surgeons,Biotech,2007,Laufen,http://www.naviswiss.eu,37
AidCoin,Welcome to the new era of transparent giving,Fintech,2017,Chiasso,http://www.aidcoin.co,37
Mondays AG,Plastic free periods made easy,unknown,2018,Zürich,https://organicmondays.com/,38
Parithera,A medical device to detect cancer treatment resistance,Medtech,2022,Lausanne,http://www.parithera.com,38
holo one AG,The Augmented Reality Standard for Enterprises,Software,2016,Lenzburg,https://holo-one.com,38
People-Analytix,We support organizations to better manage their workforce,Software,2017,Zurich,https://www.people-analytix.com,38
OCULOCARE medical AG,Helping patients with eye diseases,unknown,2015,Zürich,http://oculocare.com/,38
1plusX AG,From data to predictions,unknown,2014,Pfäffikon,http://1plusx.com/,38
Smartcanula Sàrl,unknown,Engineering,2004,Lausanne,http://www.smartcanula.com,38
IRIS Industries,Wideband Detection and Ranging for Autonomous Vehicles,Software,2017,Saint-Aubin-Sauges,https://irisindustries.ch/,38
SMENA (Smart Energy Alternative),"A revolutionary Internet-of-thing cloud platform for ""Smart",FintechCleantech,2016,Walchwil,unknown,38
Fidectus AG,Disrupting OTC energy trading post-deal processing,SoftwareFintechCleantech,2019,Zürich,https://www.fidectus.com/,38
N-Dream AG (AirConsole),Browser-based gaming platform,unknown,2013,Zürich,http://www.airconsole.com,38
re:spondelligent GmbH,Manage online customer reviews smartly to address and amplify a new marketing channel for business owners.,unknown,2017,Gersau,https://respondelligent.com/,38
DOOLDY SàRL,Promotion website for companies to recruit talent,Software,2008,Bienne,http://www.dooldy.com/,39
ND BioSciences SA,Enabling neurodegenerative diseases treatments devlopment,Biotech,2019,Epalinges,https://nd-biosciences.com/,39
MotionPilot SA,The ultimate flight experience,Engineering,2017,Ecublens,https://motionpilot.ch/,39
e-Potek SA,Get the best mortgage on the market,Fintech,2018,Le Grand-Saconnex,https://www.e-potek.ch/,39
Wecan Group,Trust Network Builders,Fintech,2014,Genève,https://www.wecangroup.ch,39
IDUN Technologies AG,Enabling the Internet of Humans,unknown,2017,Opfikon,https://iduntechnologies.ch/,39
Drotr AG,Speak your language with the world,unknown,2022,Wilen b. Wollerau,http://drotr.com/,39
Planted Foods AG,Planted meats.,unknown,2019,Zürich,https://www.planted.ch/,39
Eranea SA,Automated solution to migrate legacy applications to Java &amp; Linux,Software,2011,Lausanne,http://www.eranea.com,39
Boomerang Ideas GmbH,SaaS market research,unknown,2019,Zürich,https://boomerangideas.com/,39
CDR-Life AG,In CDR-Life we make transformative cancer immunotherapies,Biotech,2017,Schlieren,http://cdr-life.com,39
Gondola Medical Technologies SA,Treatment for motor symptoms of neurodegenerative diseases,Medtech,2011,Epalinges,https://www.gondola-medical.com/,39
SmartHelio Sarl,AI-based advanced analytics for solar plant diagnostics,Cleantech,2019,Lausanne,https://www.smarthelio.com/,40
cenogent GmbH,"Compact, high performance modules emitting directional light",EngineeringCleantech,2016,Cressier,unknown,40
Neurix SA,Neuronal products for the toxicology testing and neuroprotective drugs,Medtech,2011,Genève,http://www.neurix.ch,40
Memo Therapeutics AG,Recombinant immunoglobulins and human-derived antibiotics,Biotech,2012,Basel,https://memo-therapeutics.com/home.html,40
BioApply Sàrl,Market leader for biodegradable retail bags,Biotech,2004,Gland,http://www.bioapply.com,40
Amphasys AG,Single cell analysis based on impedance flow cytometry,Engineering,2012,Root D4,http://www.amphasys.com/,40
Yoordi,Contactless selforder and -payment solution for hospitality.,SoftwareFintech,2018,Zürich,http://yoordi.com,40
Deeplink,Artificial intelligence and Chatbot,Software,2019,Lausanne,https://www.deeplink.ai,40
Smart Energy Link AG,Energy management system for captive power solutions,Cleantech,2017,Bern,http://smartenergylink.ch,40
Pintail Ventures AG,Mobile money transfer solution,Fintech,2014,Zürich,http://pintail.net/,40
Badbyte Sagl,Making real-time 3D and AR available,Software,2019,Lugano,https://badvisor.io/,40
Inspacion AG,Virtual reality design and collaboration platform for enterprises,unknown,2017,Zurich,http://www.inspacion.com,40
Sportradar AG,Supplier of sports and betting related data,Software,2007,St. Gallen,http://www.sportradar.com,41
Sigatec SA,Manufacture silicon micro-parts,Engineering,2006,Sion,http://www.sigatec.ch,41
Arbrea Labs AG,AI based AR solutions for Pre-visualizations on Human Body,unknown,2018,Zurich,http://www.arbrea-labs.com,41
digital republic,Unlimited mobile internet for your devices,unknown,2016,Zürich,http://www.digitalrepublic.ch,41
TECURO AG,Mission is the promotion of new solutions for UTI prevention and treatment,Medtech,2013,Luzern,http://www.tecuro.ch,41
recapp IT AG,Spracherkennung in allen Schweizer Sprachen und Dialekten,Software,2014,Visp,http://www.recapp.ch,41
IMMOMIG SA,Software solutions for real estate,Software,2004,Granges-Paccot,http://www.immomigsa.ch,41
DuoKey SA,Keep control on your encryption keys,Software,2020,Lausanne,https://duokey.ch,41
Fiaxell Sàrl,SOFC Technologies,Engineering,2008,Lausanne,https://fiaxell.com/,41
Innovational AG (Glice),Zero energy ice skating rinks,Cleantech,2012,,http://www.glicerink.com,41
Loriot AG,A global IoT LoRaWAN operator and service provider.,unknown,2015,Thalwil,http://www.loriot.io,41
Ray Research AG,"Quadrotor fan-in-wing VTOL aircraft, with tilting ducts at the stabilator.",Engineering,2009,Muttenz,unknown,41
Liberty MedTech Sagl,Innovative body rehabilitation method for people with mobility problems,Medtech,2020,Lamone,http://www.libertymedtech.com,42
b-sharpe SA ,Online currency exchange company,Fintech,2006,Geneva,https://www.b-sharpe.com/,42
UrbanDataLab AG,Spatial Optimization of Real Estate Investment Strategies,unknown,2020,Adliswil,http://www.urbandatalab.net,42
SensDRB GmbH,SensDRB GmbH is an intelligent systems company,unknown,2017,Horw,https://www.sensdrb.com/,42
CareerLunch AG,Matching talents with employees for informal lunch exchanges,unknown,2019,Sarnen,http://careerlunch.com,42
bNovate Technologies SA,Spezialized in fully automated online flow cytometry,Biotech,2011,Lausanne,https://www.bnovate.com/,42
Aleph Archives Sàrl,Enterprise-grade web archiving platform for e-discovery and business intelligence,Software,2010,Lausanne,http://aleph-archives.com/,42
iazzu GmbH,Augmented Reality app to visualise original art on your home wall,unknown,2016,Biel Bienne,http://www.iazzu.com/,42
Vaxeal Holding SA,Therapeutic vaccines and with immuno-modulatory drugs for the treatment of diseases,Biotech,2009,Vevey,http://www.vaxeal.net,42
Brixel AG,Brixel - the first real estate online transaction platform,Fintech,2016,Zurich,https://www.brixel.io/,42
Fidectus AG,Disrupting OTC energy trading post-deal processing,SoftwareFintechCleantech,2019,Zürich,https://www.fidectus.com/,42
Ypsomed AG,unknown,Medtech,2002,Burgdorf,http://www.ypsomed.com,42
Ledgy AG,Manage Your Equity &amp; Stakeholders From One Place,SoftwareFintech,2017,Zürich,https://www.ledgy.com,43
Vivent SARL,Harnessing bio-signals,Biotech,2012,Crans-près-Céligny,http://vivent.ch/,43
Coatmaster AG,Measuring industrial coatings,Engineering,2011,Winterthur,http://www.winterthurinstruments.ch,43
3rd-eyes analytics AG,Automated wealth planning software,FintechCleantech,2015,Zürich,http://3rd-eyes.com/,43
Inofea AG,Empowered therapeutic enzymes,Engineering,2014,Muttenz,https://inofea.com/,43
Blockworks AG (Swiss Crypto Exchange),Swiss exchange platform for blockchain products and cryptocurrencies,SoftwareFintech,2017,Hergiswil,https://scx.ch/,43
CALCISCON AG,Products for Calcification Medicine,unknown,2013,Nidau,http://www.calciscon.com,43
Skin Match Technology Switzerland AG,Personalized skin care products,Software,2017,Zürich,http://www.skin-match.com/,43
Adello AG,Our mission is to quantify the drivers of physical business.,Software,2019,Zürich,https://www.adello.com/,43
Skope Magnetic Resonance Technologies GmbH ,Measurement instruments for the magnetic resonance imaging (MRI) market,Medtech,2011,Zürich,http://www.skope.ch,43
MesenFlow Technologies Sàrl,Translational solutions.,Biotech,2018,Plan-les-Ouates,http://www.mesenflow.com/,43
inspire AG für mechatronische Produktionssysteme und Fertigungstechnik,Swiss competence center for production technology,Engineering,2010,Zürich,http://www.inspire.ethz.ch,43
OneVisage SA,Sensitive Data Requires Premium Protection,SoftwareFintech,2016,Lausanne,http://www.onevisage.com,44
Essento Food AG,We produce malted and sprouted grains for drinks and food.,unknown,2015,Zurich,unknown,44
Medudem AG,Catalyzing the way health professionals and patients interact,Medtech,2007,Zürich,http://www.medudem.com,44
Sensoryx AG,"Novel, intuitive controller systems for VR and AR",Engineering,2015,Zürich,http://www.sensoryx.com,44
Hygienics.ch GmbH (HyShell),The hygienic way to open doors,unknown,2013,Pratteln,http://www.hygienics.ch,44
Tresorit AG,End-to-End Encrypted File Sync &amp; Sharing,unknown,2013,Niederteufen,https://tresorit.com/,44
MyShipper GmbH,Your China product sourcing specialist,unknown,2016,Glashütten,http://myshipper.ch/,44
PrivateDeal SA,Smart Negotiation for Hotels,unknown,2017,Lausanne,https://privatedeal.com/,44
onefusion AG (1nfusion),Flow sensing technology,Medtech,2016,Zürich,http://www.1nfusion.com,44
Aizo AG (Digitalstrom),Solution for networking of electrical devices for smarthomes use,Engineering,2008,Wettswil,http://www.aizo.com,44
CoreMedica ,BioKaizen is a private company dedicated to the evualuation of Biomarkers of diseases.,Biotech,2013,Monthey,https://www.coremedicalabs.com/about-us-2/,44
Hyposcout AG,Peer-to-peer lending platform,Fintech,2016,Zürich,https://www.hypo-scout.ch/,44
3 Circle Funding,Switzerland's all-in-one crowdfinancing platform,Fintech,2015,Zurich,https://www.3circlefunding.ch/,45
Coople (Schweiz) AG ,Internet platform for the efficient management of short notice and short-term work assignments,unknown,2009,Zürich,https://www.coople.com,45
PVsyst SA,A powerful software for your photovoltaic systems,SoftwareCleantech,2011,Peney-Satigny,http://www.pvsyst.com,45
Sunbiotec AG,Solar gasification of carbon-containing waste materials,Cleantech,2011,Zürich,http://sunbiotec.ch,45
ACATIS Service GmbH,Value for Investors,Fintech,2015,Walzenhausen,https://www.acatis.de/,45
Kreditfabrik AG,Efficiency for the Future,Fintech,2016,Horgen,https://kreditfabrik.ch/,45
Foodetective,We make restaurants lives much easier.,Software,2018,Geneva,https://business.foodetective.co/en/,45
Genny Mobility SA,New transportation philosophy for personal mobility,Medtech,2012,Lugano,http://www.gennymobility.net,45
Equiis Technologies Switzerland AG,Artificial intelligence solutions securing the internet of things,unknown,1993,Zürich,https://equiis.com,45
Switzerlend AG (LEND),Fair loans for borrowers. Good returns for investors.,Fintech,2015,Zürich,http://www.lend.ch,45
Catecair,"a PM, NOx and soon CO2 out-of-home air cleaner transforming cars into depolluting robots",Cleantech,2022,La Tour-de-peilz,http://www.catecar.ch,45
Beneva International AG ,Your beauty &amp; lifestyle shop,unknown,2017,Widnau,https://www.benevablack.ch/en/,45
Antavi GmbH,Crowdmonitoring and analytics,unknown,2015,Zurich,http://antavi.ch/,46
wy.by AG,Web-based reservation and rental-management system for the rental community,Software,2009,Weggis,http://www.wy.by,46
Perspective Robotics AG (Fotokite),Real-world situational awareness info to help save lives.,unknown,2014,Zürich,http://www.fotokite.com,46
Cleveron AG,We optimize the indoor air quality and reduces consumption,Cleantech,2017,Stettlen,https://cleveron.ch/,46
Genohm SA ,Laboratory information management system,Software,2011,Lausanne,http://www.genohm.com,46
Pessoss Services AG,Pessoss applications designed for aid organisations,Software,2011,Bern,http://pessoss.com,46
CLEMAP AG,Clever energy for a better future,Cleantech,2017,Zürich,https://clemap.ch,46
Edamama AG,Pasta made from beans,unknown,2014,Zurich,https://edamama.ch/,46
Teleport SA,Supercharge web video,unknown,2016,Lausanne,http://www.teleport.ninja/,46
docdok.health AG,Communication platform for both doctors and patients,Software,2017,Basel,https://www.docdok.health/en/,46
NRCtech SA,We provide solutions for numerical and experimental developments in mechanics and microtechnology.,Engineering,2002,Lausanne,https://www.nrctech.ch/,46
pplinvest AG (People Invest),Connecting SMEs and investors,Fintech,2015,Zürich,unknown,46
HiveTracker SA,Cloud-based connected monitoring as a service,unknown,2018,,unknown,47
Somniacs AG,Forever changing the way people experience the world.,Engineering,2015,Zürich,http://www.birdly.com,47
Oviva AG,Digital therapeutics services,unknown,2013,Altendorf,https://oviva.com/global/,47
Taurus Group SA,Swiss digital asset custody solution,Fintech,2018,Geneva,https://www.taurusgroup.ch/,47
yamo AG,The freshest and most natural organic baby food,unknown,2016,Zug,http://www.yamo.bio,47
Incuray AG (Diabird),Making life easier for type 1 and type 2 diabetics,Medtech,2012,Rotkreuz ,http://blog.diabird.com,47
Aeris Cleantec AG,The next generation of air purifiers,unknown,2014,Cham,https://aerishealth.com/de,47
Nemosia,We develop PET radiotracers for early diagnostics.,Medtech,2022,Zurich ,http://nemosia.com,47
Bhive.ch GmbH | GetYourDesk.com,Instantly confirmed by-the-hour meeting spaces,unknown,2015,Lausanne,https://getyourdesk.com/,47
Pexapark AG,Complete revenue management solution for renewable energy,FintechCleantech,2017,Schlieren,https://pexapark.com,47
Nostic Solutions AG,AUTOMATED VISUAL DIAGNOSTICS IN DENTISTRY.,Medtech,2019,Freienbach,http://www.nostic.ch,47
BELAIR BIOTECH SA,Providing biological solutions for treating waste,Cleantech,2007,Les Acacias,http://www.belairbiotech.ch,47
DFS Digital Footwear Solutions AG,The digital future of the footwear industry,SoftwareCleantech,2018,Glattbrugg,https://dfs.cloud/,48
Swiss Fresh Water SA,A low-cost and decentralized desalination system,unknown,2008,Belmont sur Lausanne,http://www.swissfreshwater.com,48
Tomplay,Tomplay invents the Interactive Sheet Music,Software,2013,Pully,http://www.tomplay.com,48
Meteomatics GmbH,Weather data processing,Software,2012,St. Gallen,http://www.meteomatics.com,48
Microcaps AG,Microencapsulation at Swiss Precision,Engineering,2019,Zurich,https://www.microcaps.ch,48
Klewel SA,Multimedia capture station connected to online publishing portal for all events,Software,2007,Martigny,http://www.klewel.com,48
Positive Energy Buildings SA,Sustainable innovative energy solutions for better financial results,Cleantech,2010,Morges,http://www.positiveenergy.ch,48
MyoSwiss AG ,Textile-based robotic device to assist people with mobility problems,Medtech,2017,Zurich,https://myo.swiss/,48
Jinbox GmbH,Developing solutions for intelligent information routing inside organisations,Software,2011,Zürich,http://www.jinbox.com,48
Uberchord Engineering GmbH,E-learning platform teaching to play musical instruments.,unknown,2022,Hamburg,http://www.uberchord.com,48
e-traid gmbh,Enable the world’s SMEs to connect to globabal markets,unknown,2019,BERN,unknown,48
Enso Labs AG,unknown,unknown,2021,Zurich,https://www.enso.finance/,48
DFS Digital Footwear Solutions AG,The digital future of the footwear industry,SoftwareCleantech,2018,Glattbrugg,https://dfs.cloud/,49
Terrasense Switzerland AG,Expert monitoring and consulting services to the field of natural hazards and mining sector,Engineering,2010,Buchs,http://www.terrasense.ch,49
Lemonads,NextGen Affiliate Network Marketplace,unknown,2011,Geneva,https://www.lemonads.com/,49
DermoSafe SA,Connected dermoscopy solution supporting skin cancer early detection,Medtech,2012,Lausanne,http://www.dermosafe.com,49
Perovskia SA,Digitally printed customizable solar cells.,Cleantech,2020,Aubonne,unknown,49
HM Care SA,The transparent mask,Medtech,2020,Geneva,https://www.hmcare.ch,49
NeoCarbons,"We make  recycling CO2 industrial, competitive, profitable.",Cleantech,2019,Fällanden,http://www.neocarbons.com,49
Goodshine AG ,Swiss marketleader in online couponing,unknown,2010,Zürich,http://www.deindeal.ch,49
WECHEER SA,Digitizing every drink moment,unknown,2017,Lausanne,http://wecheer.io,49
Deldro AG. Delivery Drones.,Deldro develops and operates a drone-based express delivery service.,EngineeringCleantech,2017,Zürich,http://www.deldro.com,49
Codex D. Sàrl,An application built to discover cities though an adventure,unknown,2019,Lausanne,https://www.codex-d.com,49
Daphne Technology SA,Enabling air pollution control with nanotechnology.,Cleantech,2017,St-Sulpice VD,https://daphnetechnology.com/,49
DBS System SA,Advanced technology for blood sampling,Medtech,2010,Gland,http://www.dbs-system.ch,50
Riskwolf AG,Riskwolf is the platform that insures the digital economy.,Fintech,2019,Zürich,http://www.riskwolf.com,50
SunRegen Healthcare AG,New drug development for neurodegenerative diseases,unknown,2017,Reinach,http://www.sunregen.ch,50
Illusonic GmbH,unknown,Software,2006,St-Sulpice,http://www.illusonic.com,50
Vestun,Agnostic Investment Intelligence,SoftwareFintech,2019,Zurich,https://vestun.com,50
Stairlin,The personal assistant for you,Fintech,2016,Lausanne,https://www.stairlin.com/,50
Biolingus IP GmbH,Development of sublingual delivery of peptides and proteins for chronic diseases,Biotech,2014,Uhwiesen,unknown,50
Finovo AG ,Mortgage solutions for pension funds,SoftwareFintech,2016,Zurich,unknown,50
Peripal AG,Patient connection device for home dialysis,Medtech,2015,Zürich,http://www.peripal.com,50
Dufour Aerospace AG,Advanced electric aircraft,Cleantech,2017,Visp,https://dufour.aero/,50
MEDIC-MICRO Sàrl,Medical devices for orthopedic surgery,Medtech,2004,Porrentruy,http://www.medicmicro.ch/index.html,50
Heliotis AG,Optical technology that improves 2D to 3D-microscopy,Engineering,2005,Root,http://www.heliotis.ch,50
Anapaya Systems AG,Securing and Optimizing Internet Communication,unknown,2017,Zurich,https://www.anapaya.net/,51
nudgeIT AG,Resolving tickets the easy way,Software,2014,Baden,http://www.nudgeit.ch/,51
Assimilate,Data driven retail analytics,Software,2018,Plan-les-Ouates,http://www.assimilate.io,51
Inflamalps SA,Novel medicines to treat inflammation,Biotech,2012,Monthey,http://www.inflamalps.com,51
MaxBrain AG,The preferred learning platform for professionals,Software,2016,Zurich,https://www.maxbrain.com/,51
Sensima Technology SA ,Magnetic sensors on a micro-chip,Engineering,2008,Gland,http://www.sensimatech.com,51
ViSSee AG,Development of visual speed sensors,Software,2009,Zug,https://vissee.ch/,51
Skioo SA,The first smart card with an API smartphone,Software,2012,Lausanne,http://www.skioo.com,51
Fennex AG,Augmented hearing app,unknown,2017,Meilen,https://www.fennex.io/,51
Private Alpha Switzerland AG,PRIVATE ALPHA –INTELLIGENT INVESTING THROUGH AI,SoftwareFintech,2017,Meggen,http://www.privatealpha.de,51
ACUBE Technology SA,Mobile hands-free access solution,unknown,2017,Nidau,http://acube.io/,51
eMonitor GmbH,Application management software to find the right apartment,Software,2014,Zürich,http://emonitor.ch,51
be.care SA,Smart &amp; Predictive Connected Health,Medtech,2016,Lausanne,https://www.becare.swiss/,52
People-Analytix,We support organizations to better manage their workforce,Software,2017,Zurich,https://www.people-analytix.com,52
Readily3D SA,We help biologists push the frontiers of biofabrication,Engineering,2020,Lausanne,https://readily3d.com,52
IMSD Sàrl,Helping companies to turn their data into valuable information,Software,2012,Zürich,http://www.imsd.ch,52
nexoya Ltd.,Platform for intelligent KPIs in Digital Marketing,unknown,2018,Zürich,https://www.nexoya.com/,52
e24 AG,Essential for mobile payment,SoftwareFintech,2007,Zürich,http://www.e-24.ch,52
SIMPLIQUITY Sàrl ,Augmented reality lamp,Software,2006,Lausanne,http://www.simpliquity.com,52
Alpian AG,Innovative Wealth Management,Fintech,2019,Carouge,https://alpian.com/,52
Aware Plus GmbH,Reliable online second opinions,unknown,2014,Zürich,https://meinezweitmeinung.ch,52
MicroR Systems Sarl,Compact &amp; ultra-precise lasers for measurement applications,Engineering,2018,Lausanne,https://www.microrsystems.com/,52
peerspoint SA,Blockchain ecosystem for Sport and leisure federations,SoftwareFintech,2016,Sullens,http://www.peerspoint.com,52
Terra Quantum AG,Deeptech applications based on quantum computing,unknown,2019,Rorschach,https://terraquantum.ch/,52
Resistell AG,Revolutionary alternative for antibiotic susceptibility testing,Medtech,2018,Muttenz,http://resistell.com/,53
I believe in you AG,Crowdfunding-Plattform für Sportprojekte.,Fintech,2012,Bern,http://www.ibelieveinyou.ch,53
ONEBIO AG,Trusted Health Engagement,Software,2018,Root D4,unknown,53
Koubachi ,App to manage home plants,unknown,2009,Zürich ,http://www.koubachi.com,53
Covario AG,Crypto prime brokerage platform,SoftwareFintech,2019,Zug,https://www.covar.io/,53
CLTmobile AG,Car sharing app,Software,2012,Luzern,http://www.fundride.me,53
TextShuttle AG,MT systems and offering of related products such as conversion of film scripts into subtitles,Software,2006,Zürich,http://www.textshuttle.ai,53
Arktis Radiation Detectors Ltd,Platform technology for detecting ionizing radiation,Engineering,2006,Zürich,http://www.arktis-detectors.com,53
Lipidon AG,Actionable biomarkers discovery for food,Medtech,2018,Zürich,http://www.lipidon.com,53
SNAQ AG,Reveal the impact of food on health,Software,2017,Winterthur,http://www.snaq.io/,53
Pexapark AG,Complete revenue management solution for renewable energy,FintechCleantech,2017,Schlieren,https://pexapark.com,53
TARCO International,Blockchain Consulting Finance and Commodity Trading,Fintech,2017,Zug,https://www.tarco.ch/,53
Goodwall SA,A professional development network for young talent,unknown,2012,Genève,https://www.goodwall.io/,54
peerspoint SA,Blockchain ecosystem for Sport and leisure federations,SoftwareFintech,2016,Sullens,http://www.peerspoint.com,54
Bluebox Shop AG ,Swiss online shop for erotic and lifestyle products,unknown,2014,Glattbrugg,https://www.amorana.ch/,54
Haelixa AG,Reliable product identification through DNA technology,Engineering,2016,Kemptthal,http://haelixa.com,54
Dynamic Devices AG,The next generation training machine.,Engineering,2005,Zurich,http://www.dynamicdevices.ch,54
FinGuide AG,FinGuide helps wealthy persons finding the right partner for the investment of their assets,Fintech,2017,Horgen,https://www.finguide.ch/,54
Adeya,Secure Collaboration for your Digital Workplace,SoftwareFintech,2007,Morges,https://adeya.ch/,54
Leman Micro Devices SA,Medically accurate health sensing for all smartphones,Engineering,2013,Lausanne,https://www.leman-micro.com/,54
Aurora's Grid Sàrl,Energy Management Software for Li-ions Battery,Cleantech,2016,Lausanne,http://aurorasgrid.com,54
devis.ch SA ,Online competitive quotes from quality service providers in Switzerland,Software,2014,Nyon,https://www.devis.ch/,54
Advice Online AG,Digital banking cloud,SoftwareFintech,2013,St. Gallen,https://www.adviceonline.ch,54
AKENES SA (Exoscale),Safe and affordable infrastructure as a service,unknown,2011,Lausanne,http://www.exoscale.ch,54
Wecan Group,Trust Network Builders,Fintech,2014,Genève,https://www.wecangroup.ch,55
Fision AG ,3D body platform,unknown,2015,Zurich,https://www.meepl.com/,55
Amphiro AG ,Conserving water and energy made easy with our displays for shower and tap,unknown,2009,Zürich,http://www.amphiro.com,55
DermoSafe SA,Connected dermoscopy solution supporting skin cancer early detection,Medtech,2012,Lausanne,http://www.dermosafe.com,55
Badbyte Sagl,Making real-time 3D and AR available,Software,2019,Lugano,https://badvisor.io/,55
enersis suisse AG,Big data platform along the complete energy value chain,Cleantech,2011,Bern,http://enersis.ch,55
Weibel CDS AG,"Developing and producing innovative, userfriendly, application oriented primary packaging and devices",Engineering,2010,Waldstatt,http://www.weibelcds.com,55
minespider GmbH,Blockchain protocol for responsible mineral sourcing,Fintech,2018,Zug,https://www.minespider.com/,55
Coresystems AG ,All-in-one Field Service Software for your entire team.,Software,2006,Leibstadt,http://www.coresystems.ch/,55
C-CIT AG,"Sensor specialist for biotech, research and environment",Biotech,2002,Wädenswil,http://www.c-cit.ch,55
Ozics AG,Dedicated to taking fracture treatment and post-traumatic rehabilitation to a completely new level,Medtech,2010,St. Gallen,http://www.ozics.com,55
proaxia consulting group AG,Spezialised in distribution and service processes,Software,2008,Spreitenbach,http://www.proaxia-consulting.ch,55
CommoChain SA,Streamlining the back-office of commodity trading,SoftwareFintech,2019,Plan-les-Ouates,https://www.commochain.io,56
imperix SA,Advanced power conversion solutions,Cleantech,2013,Sion,http://www.imperix.ch,56
Once Dating AG (acquired by Dating Group),You deserve beautiful stories.,unknown,2014,Pfäffikon,https://www.getonce.com/en,56
Axalbion SA,Axalbion’s TRPM8 agonists offer new therapeutic approaches,Biotech,2017,Lausanne,http://www.axalbion.com/,56
MachIQ Software Services SA,AI-powered software for 10x gains in equipment performance,unknown,2017,,http://www.machiq.com,56
Farmer Connect SA,unknown,Software,2019,Vernier,https://www.farmerconnect.com/,56
Yova AG,We create a more sustainable world through investing,Fintech,2017,Zurich,https://yova.ch/,56
Viventis Microscopy Sàrl,Light sheet microscope systems for long-term live-imaging.,Medtech,2017,Lausanne,https://www.viventis-microscopy.com/,56
MPC Therapeutics Sàrl,Treating metabolic and neurodegenerative diseases,Biotech,2018,Plan les Ouates,unknown,56
Netsensing Technology,Pionneer in Digital Health,Medtech,2019,Neuchâtel,http://www.netsensing.ch,56
